Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
1,Alex Abrines\abrinal01,Alex Abrines,SG,23,OKC,16,0,201,5.6,15.7,0.354,2.9,10.6,0.273,2.7,5.1,0.524,2.4,2.7,0.909,0.5,3.1,3.6,1.7,1.2,0.2,3.1,3.4,16.4,,89,109,103.7,92.293,113.033,12.56,27.14,25.05,30.68,-5.63,5994764,2705.05,208504.94,-3475082.27,5696.64,73106.88,Alex Abrines
2,Quincy Acy\acyqu01,Quincy Acy,PF,26,DAL,6,0,48,5.4,18.4,0.294,1.1,8.7,0.125,4.3,9.7,0.444,2.2,3.2,0.667,2.2,6.5,8.7,0,0,0,2.2,9.7,14.1,,72,112,95.1,68.472,106.512,8.00,15.85,10.85,16.88,-6.03,1050961,2132.37,94780.79,-206970.3,2330.29,12816.6,Quincy Acy
3,Steven Adams\adamsst01,Steven Adams,C,23,OKC,19,19,599,6.7,12.3,0.55,0,0,,6.7,12.3,0.55,3.2,4,0.816,4.4,7.7,12.1,1.1,1.9,1.5,3.2,4,16.7,,109,103,103.7,113.033,106.811,31.53,68.11,76.99,72.75,4.24,3140517,554.47,48925.87,643025.77,1229.78,38298.99,Steven Adams
4,Arron Afflalo\afflaar01,Arron Afflalo,SG,31,SAC,18,16,482,5.8,13.7,0.423,1.3,4.1,0.308,4.5,9.6,0.473,3.4,3.6,0.941,0.4,4.3,4.7,2.2,0.4,0.1,0.4,3.4,16.2,,114,114,94,107.16,107.16,26.78,52.44,56.19,56.19,0.00,12500000,2556.73,204086.25,-7687248.56,5177.17,152439.02,Arron Afflalo
5,Alexis Ajinca\ajincal01,Alexis Ajinca,C,28,NOP,8,0,98,6,14.9,0.4,0,0,,6,14.9,0.4,1.5,2,0.75,4.5,9.4,13.9,0.5,0.5,2.5,2.5,6.5,13.4,,86,106,101.5,87.29,107.59,12.25,25.90,22.61,27.87,-5.26,4600000,3439.06,210843.2,-835563.8,5905.01,56097.56,Alexis Ajinca
6,Cole Aldrich\aldrico01,Cole Aldrich,C,28,MIN,17,0,201,4.2,8.2,0.515,0,0,,4.2,8.2,0.515,1.7,2.7,0.636,4.5,10,14.5,1.7,2.2,1.5,1.2,9.7,10.2,,118,105,93.5,110.33,98.175,11.82,23.03,25.41,22.61,2.80,7643979,3645.5,316514.77,5380751.04,7170.71,93219.26,Cole Aldrich
7,LaMarcus Aldridge\aldrila01,LaMarcus Aldridge,PF,31,SAS,15,15,493,10.8,22.9,0.473,0.8,1.8,0.471,10,21.2,0.473,6.3,7.3,0.857,2.8,7.7,10.5,2.3,1.3,1.7,2.3,3.4,28.8,,110,106,93.9,103.29,99.534,32.87,64.30,66.41,64.00,2.41,20575005,3937.41,353617.2,3712980.58,8317.61,250914.7,LaMarcus Aldridge
8,Lavoy Allen\allenla01,Lavoy Allen,PF,27,IND,18,0,277,2.8,8.8,0.32,0,0.2,0,2.8,8.7,0.327,0.4,0.7,0.5,4.6,5.3,9.9,3.4,1.1,0.9,1.2,4.6,6,,93,108,100.4,93.372,108.432,15.39,32.19,30.05,34.90,-4.85,4000000,1453.46,118138.59,-13467799.69,3449.13,48780.49,Lavoy Allen
9,Tony Allen\allento01,Tony Allen,SG,35,MEM,11,9,259,6.8,16.8,0.405,0.4,1.6,0.25,6.4,15.2,0.421,2.6,3.6,0.722,3.4,5.2,8.6,1.6,3.4,1.6,2.6,5.8,16.6,,91,99,94.2,85.722,93.258,23.55,46.21,39.61,43.09,-3.48,5505618,2013.24,134029.83,-712474.34,3051.89,67141.68,Tony Allen
10,Al-Farouq Aminu\aminual01,Al-Farouq Aminu,SF,26,POR,8,8,209,4,14.4,0.274,2.1,8.4,0.25,1.9,6,0.308,1.9,3.5,0.533,1.6,10.7,12.3,3,2.8,1.6,2.8,2.3,11.9,,78,107,101.1,78.858,108.177,26.13,55.03,43.39,59.53,-16.13,7680965,2158.69,132759.34,-531037.35,3585.47,93670.3,Al-Farouq Aminu
